,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,C50/,,ALTRINSIC FGT INTERNATIONAL (E+F),BANK OF MONTREAL - 360T,,,,HSBC TAIPEI(B2-C),,,,/NAME/4BCB TECMANAGEMENT LTD.,,,,E_TM2EAFE
1,\W P,,ZZZZDI04 BABSON STEWART IVORYINT\,GREEN BAY B 2013 LIMITED,,,,UCIT-1_STST-INDIRECT,,,,/NAME/IBT-1,,,,INGDR 1-AG
2,,,"2Y2F SUN MICROSYSTEMS INT'L, B.V.","CHINA DEVELOPMENT IND BK INC,TPE(B2",,,,`HKAQZZZZ,,,,/NAME/AKF2  MATB,,,,GL EQ R1
3,,,U5BE V.FS.M.F.80./.T.-U7S7-COL/REPO,BANK HANDLOWY  W WARSZAWIE SA,,,,XHCPARENT C\W,,,,/NAME/3CXE J & J UK GRP RET PLN CAPITAL,,,,QBZ44 B
4,,,U7OD 0010429S01 DY.EU.BAL.A.UF1.,MAD PRIVATE EQUITY - U OF PA,,,,MIEQ`,,,,,,,,AT+T
5,,,REDEC + ASSOCIATES # 2 - TAURUS,IND N COM BK OF CHINA(F.ADM)-BEIJIN,,,,QUEENS.G/K,,,,,,,,
6,,,X4F9 FIS ALGERT COLDIRON _ EAFE,AMS GLOBAL CASH 12,,,,ABN/ LF LIFE FEEQ,,,,,,,,
7,,,"2Y2F SUN MICROSYSTEMS INT'L, B.V.",,,,,,,,,,,,,
8,,,U93O DEUT .INST.CASH PLUS-U7L9-COL.,,,,,,,,,,,,,
9,,,XHC MLC LIFE LIMITED SYDNEY 2(CLIE,,,,,,,,,,,,,
10,,,X4F9 FIS ALGERT COLDIRON _ EAFE,,,,,,,,,,,,,
11,,,B'NAI B'RITH,,,,,,,,,,,,,
12,,,28N5 BIVERBANCA UNDOC 30%/BIVER/UKT,,,,,,,,,,,,,
13,,,Q267 TPM(NZ)-?,,,,,,,,,,,,,
14,,,BANCA POPOLARE DELL' ETR: -INV,,,,,,,,,,,,,
15,,,U5BE V.FS.M.F.80./.T.-U7S7-COL/REPO,,,,,,,,,,,,,
16,,,GHZL SSCSIL GSTK GBP BASIS E_F HDG,,,,,,,,,,,,,
17,,,"TAX ACCOUNT ""COMP"" - PARENT",,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
